agent,trial,stage,candidate_id,edge_type,strength,active,driver,seed
full_biological,23,Ext1,AUTO_GG_G2_G5,glia_glia,1.0,True,1.0,20260817
full_biological,23,Ext1,AUTO_TRI_N0_G1_N4,tripartite,1.0,True,0.007835499929656506,20260817
full_biological,23,Ext1,AUTO_TRI_N3_G2_N5,tripartite,1.0,True,0.487822553419796,20260817
full_biological,23,Ext1,AUTO_TRI_N3_G2_N9,tripartite,1.0,True,0.487822553419796,20260817
full_biological,24,Ext1,AUTO_GG_G0_G1,glia_glia,1.0,True,0.006268399943725205,20260817
full_biological,24,Ext1,AUTO_GG_G1_G3,glia_glia,1.0,True,0.006268399943725205,20260817
full_biological,24,Ext1,AUTO_GG_G2_G5,glia_glia,1.0,True,1.0,20260817
full_biological,24,Ext1,AUTO_TRI_N0_G1_N4,tripartite,1.0,True,0.006268399943725205,20260817
full_biological,24,Ext1,AUTO_TRI_N3_G2_N5,tripartite,1.0,True,0.5460127641758118,20260817
full_biological,24,Ext1,AUTO_TRI_N3_G2_N9,tripartite,1.0,True,0.5460127641758118,20260817
full_biological,25,Ext1,AUTO_GG_G0_G1,glia_glia,1.0,True,0.005014719954980164,20260817
full_biological,25,Ext1,AUTO_GG_G1_G3,glia_glia,1.0,True,0.005014719954980164,20260817
full_biological,25,Ext1,AUTO_GG_G2_G5,glia_glia,1.0,True,1.0,20260817
full_biological,25,Ext1,AUTO_TRI_N0_G1_N4,tripartite,1.0,True,0.005014719954980164,20260817
full_biological,25,Ext1,AUTO_TRI_N3_G2_N5,tripartite,1.0,True,0.6048837632819097,20260817
full_biological,25,Ext1,AUTO_TRI_N3_G2_N9,tripartite,1.0,True,0.6048837632819097,20260817
full_biological,26,Ext1,AUTO_GG_G0_G1,glia_glia,0.9999209420771187,True,0.004011775963984132,20260817
full_biological,26,Ext1,AUTO_GG_G1_G3,glia_glia,0.9999308243174789,True,0.004011775963984132,20260817
full_biological,26,Ext1,AUTO_GG_G2_G5,glia_glia,1.0,True,1.0,20260817
full_biological,26,Ext1,AUTO_TRI_N0_G1_N4,tripartite,0.9999407065578391,True,0.004011775963984132,20260817
full_biological,26,Ext1,AUTO_TRI_N3_G2_N5,tripartite,1.0,True,0.6645919819192015,20260817
full_biological,26,Ext1,AUTO_TRI_N3_G2_N9,tripartite,1.0,True,0.6645919819192015,20260817
full_biological,27,Ext1,AUTO_GG_G0_G1,glia_glia,0.9997776957388137,True,0.0032094207711873056,20260817
